Frame,LEFT_SHOULDER_to_LEFT_ELBOW_start_x,LEFT_SHOULDER_to_LEFT_ELBOW_start_y,LEFT_SHOULDER_to_LEFT_ELBOW_end_x,LEFT_SHOULDER_to_LEFT_ELBOW_end_y,LEFT_ELBOW_to_LEFT_WRIST_start_x,LEFT_ELBOW_to_LEFT_WRIST_start_y,LEFT_ELBOW_to_LEFT_WRIST_end_x,LEFT_ELBOW_to_LEFT_WRIST_end_y,RIGHT_SHOULDER_to_RIGHT_ELBOW_start_x,RIGHT_SHOULDER_to_RIGHT_ELBOW_start_y,RIGHT_SHOULDER_to_RIGHT_ELBOW_end_x,RIGHT_SHOULDER_to_RIGHT_ELBOW_end_y,RIGHT_ELBOW_to_RIGHT_WRIST_start_x,RIGHT_ELBOW_to_RIGHT_WRIST_start_y,RIGHT_ELBOW_to_RIGHT_WRIST_end_x,RIGHT_ELBOW_to_RIGHT_WRIST_end_y,LEFT_SHOULDER_to_RIGHT_SHOULDER_start_x,LEFT_SHOULDER_to_RIGHT_SHOULDER_start_y,LEFT_SHOULDER_to_RIGHT_SHOULDER_end_x,LEFT_SHOULDER_to_RIGHT_SHOULDER_end_y,LEFT_HIP_to_RIGHT_HIP_start_x,LEFT_HIP_to_RIGHT_HIP_start_y,LEFT_HIP_to_RIGHT_HIP_end_x,LEFT_HIP_to_RIGHT_HIP_end_y,LEFT_HIP_to_LEFT_KNEE_start_x,LEFT_HIP_to_LEFT_KNEE_start_y,LEFT_HIP_to_LEFT_KNEE_end_x,LEFT_HIP_to_LEFT_KNEE_end_y,LEFT_KNEE_to_LEFT_ANKLE_start_x,LEFT_KNEE_to_LEFT_ANKLE_start_y,LEFT_KNEE_to_LEFT_ANKLE_end_x,LEFT_KNEE_to_LEFT_ANKLE_end_y,RIGHT_HIP_to_RIGHT_KNEE_start_x,RIGHT_HIP_to_RIGHT_KNEE_start_y,RIGHT_HIP_to_RIGHT_KNEE_end_x,RIGHT_HIP_to_RIGHT_KNEE_end_y,RIGHT_KNEE_to_RIGHT_ANKLE_start_x,RIGHT_KNEE_to_RIGHT_ANKLE_start_y,RIGHT_KNEE_to_RIGHT_ANKLE_end_x,RIGHT_KNEE_to_RIGHT_ANKLE_end_y,LEFT_SHOULDER_to_LEFT_HIP_start_x,LEFT_SHOULDER_to_LEFT_HIP_start_y,LEFT_SHOULDER_to_LEFT_HIP_end_x,LEFT_SHOULDER_to_LEFT_HIP_end_y,RIGHT_SHOULDER_to_RIGHT_HIP_start_x,RIGHT_SHOULDER_to_RIGHT_HIP_start_y,RIGHT_SHOULDER_to_RIGHT_HIP_end_x,RIGHT_SHOULDER_to_RIGHT_HIP_end_y,LEFT_HIP_to_RIGHT_HIP_start_x,LEFT_HIP_to_RIGHT_HIP_start_y,LEFT_HIP_to_RIGHT_HIP_end_x,LEFT_HIP_to_RIGHT_HIP_end_y
29,49,342,47,425,47,425,91,452,144,337,161,424,161,424,175,421,49,342,144,337,65,495,124,492,65,495,66,638,66,638,45,768,124,492,113,638,113,638,116,772,49,342,65,495,144,337,124,492,65,495,124,492
30,49,342,47,427,47,427,91,452,144,337,161,424,161,424,171,419,49,342,144,337,65,495,124,492,65,495,67,639,67,639,46,768,124,492,113,638,113,638,117,772,49,342,65,495,144,337,124,492,65,495,124,492
31,49,339,53,422,53,422,98,438,143,337,166,421,166,421,173,398,49,339,143,337,66,495,124,492,66,495,67,639,67,639,46,768,124,492,113,639,113,639,117,772,49,339,66,495,143,337,124,492,66,495,124,492
32,49,338,56,420,56,420,100,434,142,337,169,419,169,419,174,391,49,338,142,337,66,495,125,492,66,495,67,639,67,639,46,768,125,492,113,639,113,639,117,771,49,338,66,495,142,337,125,492,66,495,125,492
33,48,338,57,414,57,414,103,408,141,337,171,416,171,416,189,384,48,338,141,337,66,495,125,492,66,495,67,639,67,639,46,768,125,492,113,639,113,639,117,771,48,338,66,495,141,337,125,492,66,495,125,492
34,48,337,58,411,58,411,102,399,141,337,171,416,171,416,195,385,48,337,141,337,66,496,125,492,66,496,68,639,68,639,48,768,125,492,113,639,113,639,116,771,48,337,66,496,141,337,125,492,66,496,125,492
35,49,338,60,412,60,412,103,411,139,336,179,408,179,408,206,377,49,338,139,336,66,496,125,492,66,496,69,639,69,639,50,769,125,492,112,638,112,638,110,773,49,338,66,496,139,336,125,492,66,496,125,492
36,49,338,61,413,61,413,104,414,138,336,182,406,182,406,208,375,49,338,138,336,67,496,125,492,67,496,70,638,70,638,51,769,125,492,112,638,112,638,108,774,49,338,67,496,138,336,125,492,67,496,125,492
37,49,341,61,414,61,414,103,416,138,336,190,403,190,403,212,373,49,341,138,336,67,497,125,492,67,497,70,638,70,638,53,769,125,492,111,638,111,638,107,775,49,341,67,497,138,336,125,492,67,497,125,492
38,49,342,61,414,61,414,103,418,136,335,192,402,192,402,214,373,49,342,136,335,67,498,124,492,67,498,70,638,70,638,53,770,124,492,111,639,111,639,107,778,49,342,67,498,136,335,124,492,67,498,124,492
39,48,343,60,415,60,415,102,414,137,335,197,400,197,400,218,370,48,343,137,335,67,500,124,494,67,500,70,639,70,639,53,770,124,494,111,639,111,639,107,777,48,343,67,500,137,335,124,494,67,500,124,494
40,48,342,61,412,61,412,105,404,137,336,199,399,199,399,220,369,48,342,137,336,67,501,124,495,67,501,70,639,70,639,52,771,124,495,111,640,111,640,107,777,48,342,67,501,137,336,124,495,67,501,124,495
41,48,343,61,411,61,411,103,400,137,336,199,396,199,396,220,368,48,343,137,336,66,503,121,497,66,503,70,640,70,640,52,771,121,497,110,641,110,641,107,778,48,343,66,503,137,336,121,497,66,503,121,497
